#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.88885  0.83103 -0.01857 -0.96417  0.001849  0.000762  0.000849     2.427
   1.89764  0.83979 -0.01773 -0.95770  0.001736  0.000789  0.001211     2.201
   1.90642  0.84853 -0.01689 -0.95274  0.001640  0.000812  0.001607     2.020
   1.91518  0.85725 -0.01605 -0.94888  0.001570  0.000834  0.001982     1.883
   1.92391  0.86593 -0.01520 -0.94625  0.001518  0.000853  0.002321     1.780
   1.93259  0.87458 -0.01436 -0.94369  0.001490  0.000873  0.002590     1.706
   1.94123  0.88318 -0.01352 -0.94158  0.001474  0.000893  0.002809     1.650
   1.94980  0.89171 -0.01268 -0.93938  0.001472  0.000915  0.002971     1.609
   1.95829  0.90015 -0.01185 -0.93693  0.001480  0.000938  0.003085     1.578
   1.96669  0.90851 -0.01101 -0.93418  0.001497  0.000963  0.003159     1.556
